Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
GREEDY,0_BehnkeGeiger_46_workers.fjs,8,231,30936.46,1.53
GREEDY,0_BehnkeGeiger_46_workers.fjs,9,244,28862.46,1.51
GREEDY,0_BehnkeGeiger_46_workers.fjs,10,218,27874.46,1.53
GREEDY,2b_Hurink_edata_6_workers.fjs,1,1174,49289.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,2,1170,47995.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,3,1193,65835.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,4,1100,47521.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,5,1055,41503.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,6,1179,54983.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,7,1227,45413.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,8,1176,54639.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,9,1137,58095.71,0.0
GREEDY,2b_Hurink_edata_6_workers.fjs,10,1192,40453.71,0.0
GREEDY,2d_Hurink_vdata_18_workers.fjs,1,3439,274270.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,2,2946,248014.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,3,3402,220714.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,4,2951,206340.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,5,3216,260220.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,6,3238,331526.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,7,2877,218938.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,8,3127,273490.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,9,3487,285404.86,0.02
GREEDY,2d_Hurink_vdata_18_workers.fjs,10,3141,349688.86,0.02
GREEDY,3_DPpaulli_18_workers.fjs,1,13264,1169576.4,0.22
GREEDY,3_DPpaulli_18_workers.fjs,2,13140,1098836.4,0.23
GREEDY,3_DPpaulli_18_workers.fjs,3,13602,435934.4,0.22
GREEDY,3_DPpaulli_18_workers.fjs,4,13547,484218.4,0.22
GREEDY,3_DPpaulli_18_workers.fjs,5,12635,500126.4,0.22
GREEDY,3_DPpaulli_18_workers.fjs,6,12813,352636.4,0.23
GREEDY,3_DPpaulli_18_workers.fjs,7,13237,826338.4,0.22
GREEDY,3_DPpaulli_18_workers.fjs,8,13836,1367246.4,0.23
GREEDY,3_DPpaulli_18_workers.fjs,9,13000,1413138.4,0.22
GREEDY,3_DPpaulli_18_workers.fjs,10,13176,675208.4,0.23
GREEDY,2c_Hurink_rdata_38_workers.fjs,1,7368,478831.73,0.24
GREEDY,2c_Hurink_rdata_38_workers.fjs,2,7443,725051.73,0.24
GREEDY,2c_Hurink_rdata_38_workers.fjs,3,7363,746821.73,0.23
GREEDY,2c_Hurink_rdata_38_workers.fjs,4,7052,925771.73,0.24
GREEDY,2c_Hurink_rdata_38_workers.fjs,5,7402,925095.73,0.23
GREEDY,2c_Hurink_rdata_38_workers.fjs,6,7415,844603.73,0.24
GREEDY,2c_Hurink_rdata_38_workers.fjs,7,6925,521879.73,0.23
GREEDY,2c_Hurink_rdata_38_workers.fjs,8,7197,872441.73,0.24
GREEDY,2c_Hurink_rdata_38_workers.fjs,9,7297,409997.73,0.24
GREEDY,2c_Hurink_rdata_38_workers.fjs,10,7770,630247.73,0.24
GREEDY,2b_Hurink_edata_1_workers.fjs,1,113,1525.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,2,124,1087.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,3,111,1201.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,4,99,1497.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,5,107,829.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,6,116,501.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,7,107,1789.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,8,110,903.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,9,104,741.56,0.0
GREEDY,2b_Hurink_edata_1_workers.fjs,10,129,1263.56,0.0
GREEDY,1_Brandimarte_12_workers.fjs,1,1752,60792.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,2,1679,94644.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,3,1597,54634.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,4,1728,58874.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,5,1696,74946.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,6,1829,88650.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,7,1550,94784.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,8,1524,66120.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,9,1600,79620.93,0.13
GREEDY,1_Brandimarte_12_workers.fjs,10,1572,92404.93,0.13
GREEDY,2d_Hurink_vdata_5_workers.fjs,1,1650,196254.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,2,1332,197598.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,3,1641,226074.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,4,1631,273832.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,5,1631,249524.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,6,1425,170462.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,7,1555,262496.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,8,1608,302788.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,9,1636,212924.0,0.0
GREEDY,2d_Hurink_vdata_5_workers.fjs,10,1621,208340.0,0.0
GREEDY,2c_Hurink_rdata_28_workers.fjs,1,3432,441319.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,2,3570,583221.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,3,3424,492647.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,4,3589,761831.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,5,3818,382701.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,6,3616,643529.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,7,3577,842401.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,8,3570,409595.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,9,3319,428453.73,0.05
GREEDY,2c_Hurink_rdata_28_workers.fjs,10,3614,425633.73,0.05
GREEDY,6_Fattahi_20_workers.fjs,1,3160,1064385.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,2,3160,1149001.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,3,3300,1027535.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,4,3127,1122975.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,5,3160,1057281.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,6,3300,1147891.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,7,3300,1048055.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,8,3160,1147133.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,9,3318,1153181.67,0.01
GREEDY,6_Fattahi_20_workers.fjs,10,3300,1147891.67,0.01
GREEDY,2a_Hurink_sdata_38_workers.fjs,1,7705,1426964.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,2,7720,1206922.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,3,7596,1293904.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,4,8075,1509102.93,0.23
GREEDY,2a_Hurink_sdata_38_workers.fjs,5,8013,1094640.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,6,7689,1204486.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,7,8057,1175218.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,8,7481,1123606.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,9,7745,1083546.93,0.22
GREEDY,2a_Hurink_sdata_38_workers.fjs,10,7720,1263974.93,0.23
GREEDY,2a_Hurink_sdata_54_workers.fjs,1,11884,11587902.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,2,19098,13556962.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,3,17331,14212188.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,4,15748,13122402.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,5,19098,11463550.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,6,13933,15075032.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,7,13957,12676070.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,8,12622,11593614.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,9,12646,11684630.77,0.01
GREEDY,2a_Hurink_sdata_54_workers.fjs,10,12622,11657174.77,0.01
GREEDY,4_ChambersBarnes_10_workers.fjs,1,3859,381364.53,0.09
GREEDY,4_ChambersBarnes_10_workers.fjs,2,4118,436386.53,0.09
GREEDY,4_ChambersBarnes_10_workers.fjs,3,3925,336870.53,0.08
GREEDY,4_ChambersBarnes_10_workers.fjs,4,4396,347084.53,0.08
GREEDY,4_ChambersBarnes_10_workers.fjs,5,4074,400530.53,0.08
GREEDY,4_ChambersBarnes_10_workers.fjs,6,4024,320580.53,0.09
GREEDY,4_ChambersBarnes_10_workers.fjs,7,4031,330748.53,0.08
GREEDY,4_ChambersBarnes_10_workers.fjs,8,4243,315072.53,0.09
GREEDY,4_ChambersBarnes_10_workers.fjs,9,3905,315064.53,0.08
GREEDY,4_ChambersBarnes_10_workers.fjs,10,4062,300984.53,0.08
GREEDY,1_Brandimarte_14_workers.fjs,1,2447,93217.82,0.41
GREEDY,1_Brandimarte_14_workers.fjs,2,2432,120441.82,0.42
GREEDY,1_Brandimarte_14_workers.fjs,3,2384,110013.82,0.41
GREEDY,1_Brandimarte_14_workers.fjs,4,2360,139767.82,0.42
GREEDY,1_Brandimarte_14_workers.fjs,5,2330,142199.82,0.41
GREEDY,1_Brandimarte_14_workers.fjs,6,2461,129111.82,0.42
GREEDY,1_Brandimarte_14_workers.fjs,7,2331,162511.82,0.41
GREEDY,1_Brandimarte_14_workers.fjs,8,2475,99359.82,0.42
GREEDY,1_Brandimarte_14_workers.fjs,9,2299,83301.82,0.41
GREEDY,1_Brandimarte_14_workers.fjs,10,2461,157065.82,0.42
GREEDY,0_BehnkeGeiger_60_workers.fjs,1,763,536662.9,34.75
GREEDY,0_BehnkeGeiger_60_workers.fjs,2,841,524508.9,35.29
GREEDY,0_BehnkeGeiger_60_workers.fjs,3,865,494302.9,36.29
GREEDY,0_BehnkeGeiger_60_workers.fjs,4,772,485098.9,36.42
GREEDY,0_BehnkeGeiger_60_workers.fjs,5,754,489678.9,35.99
GREEDY,0_BehnkeGeiger_60_workers.fjs,6,657,501134.9,36.71
GREEDY,0_BehnkeGeiger_60_workers.fjs,7,739,531100.9,36.31
GREEDY,0_BehnkeGeiger_60_workers.fjs,8,877,531086.9,36.87
GREEDY,0_BehnkeGeiger_60_workers.fjs,9,730,499490.9,36.32
GREEDY,0_BehnkeGeiger_60_workers.fjs,10,735,462392.9,37.38
GREEDY,3_DPpaulli_1_workers.fjs,1,8391,1358707.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,2,8660,1003187.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,3,8464,1490157.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,4,8608,1377381.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,5,8648,1482391.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,6,8184,1492475.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,7,8212,1107695.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,8,8612,1947975.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,9,8775,1726035.43,0.02
GREEDY,3_DPpaulli_1_workers.fjs,10,8386,1596433.43,0.02
GREEDY,2a_Hurink_sdata_63_workers.fjs,1,1439,35819.33,0.03
GREEDY,2a_Hurink_sdata_63_workers.fjs,2,1511,30785.33,0.03
GREEDY,2a_Hurink_sdata_63_workers.fjs,3,1535,59647.33,0.02
GREEDY,2a_Hurink_sdata_63_workers.fjs,4,1425,50553.33,0.03
GREEDY,2a_Hurink_sdata_63_workers.fjs,5,1417,49247.33,0.02
GREEDY,2a_Hurink_sdata_63_workers.fjs,6,1489,63073.33,0.03
GREEDY,2a_Hurink_sdata_63_workers.fjs,7,1527,57293.33,0.02
GREEDY,2a_Hurink_sdata_63_workers.fjs,8,1441,60305.33,0.03
GREEDY,2a_Hurink_sdata_63_workers.fjs,9,1526,52245.33,0.02
GREEDY,2a_Hurink_sdata_63_workers.fjs,10,1425,53279.33,0.03
GREEDY,5_Kacem_3_workers.fjs,1,20,184.93,0.01
GREEDY,5_Kacem_3_workers.fjs,2,19,216.93,0.01
GREEDY,5_Kacem_3_workers.fjs,3,22,206.93,0.01
GREEDY,5_Kacem_3_workers.fjs,4,18,172.93,0.01
GREEDY,5_Kacem_3_workers.fjs,5,15,196.93,0.01
GREEDY,5_Kacem_3_workers.fjs,6,13,212.93,0.01
GREEDY,5_Kacem_3_workers.fjs,7,21,204.93,0.01
GREEDY,5_Kacem_3_workers.fjs,8,20,220.93,0.01
GREEDY,5_Kacem_3_workers.fjs,9,19,200.93,0.01
GREEDY,5_Kacem_3_workers.fjs,10,14,120.93,0.01
GREEDY,6_Fattahi_14_workers.fjs,1,1316,268492.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,2,1375,254506.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,3,1316,268492.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,4,1316,306676.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,5,1316,268492.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,6,1316,306676.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,7,1316,268492.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,8,1316,268492.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,9,1375,254506.1,0.0
GREEDY,6_Fattahi_14_workers.fjs,10,1316,306676.1,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,1,144,1104.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,2,138,1002.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,3,137,2330.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,4,139,866.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,5,157,800.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,6,134,1238.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,7,131,968.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,8,155,2496.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,9,145,1082.0,0.0
GREEDY,2a_Hurink_sdata_1_workers.fjs,10,132,1442.0,0.0
GREEDY,0_BehnkeGeiger_42_workers.fjs,1,173,9983.6,0.35
GREEDY,0_BehnkeGeiger_42_workers.fjs,2,182,11609.6,0.36
GREEDY,0_BehnkeGeiger_42_workers.fjs,3,139,12901.6,0.36
GREEDY,0_BehnkeGeiger_42_workers.fjs,4,130,13939.6,0.38
GREEDY,0_BehnkeGeiger_42_workers.fjs,5,118,11511.6,0.36
GREEDY,0_BehnkeGeiger_42_workers.fjs,6,134,14441.6,0.37
GREEDY,0_BehnkeGeiger_42_workers.fjs,7,174,11867.6,0.38
GREEDY,0_BehnkeGeiger_42_workers.fjs,8,142,16167.6,0.37
GREEDY,0_BehnkeGeiger_42_workers.fjs,9,136,11873.6,0.37
GREEDY,0_BehnkeGeiger_42_workers.fjs,10,124,12269.6,0.37
