Algorithm,Instance,Run_ID,Makespan,Workload Balance,Runtime
ML,0_BehnkeGeiger_42_workers.fjs,5,124,17450.57,63.5
ML,0_BehnkeGeiger_42_workers.fjs,6,115,15013.61,63.63
ML,0_BehnkeGeiger_42_workers.fjs,7,123,15496.87,63.32
ML,0_BehnkeGeiger_42_workers.fjs,8,126,14996.1,63.68
ML,0_BehnkeGeiger_42_workers.fjs,9,114,13597.66,63.53
ML,0_BehnkeGeiger_42_workers.fjs,10,125,13292.32,65.55
ML,0_BehnkeGeiger_60_workers.fjs,1,772,183780.5,620.49
ML,0_BehnkeGeiger_60_workers.fjs,2,801,199381.82,615.2
ML,0_BehnkeGeiger_60_workers.fjs,3,774,229027.82,606.43
ML,0_BehnkeGeiger_60_workers.fjs,4,757,136660.9,621.25
ML,0_BehnkeGeiger_60_workers.fjs,5,777,170245.56,618.49
ML,0_BehnkeGeiger_60_workers.fjs,6,780,164943.6,632.66
ML,0_BehnkeGeiger_60_workers.fjs,7,783,223376.32,629.89
ML,0_BehnkeGeiger_60_workers.fjs,8,752,179500.4,632.12
ML,0_BehnkeGeiger_60_workers.fjs,9,768,148632.4,626.49
ML,0_BehnkeGeiger_60_workers.fjs,10,799,207986.4,631.02
ML,3_DPpaulli_18_workers.fjs,1,4400,682758.93,181.0
ML,3_DPpaulli_18_workers.fjs,2,4411,1263663.33,181.59
ML,3_DPpaulli_18_workers.fjs,3,4217,2418802.4,183.05
ML,3_DPpaulli_18_workers.fjs,4,4373,1009489.6,182.09
ML,3_DPpaulli_18_workers.fjs,5,4373,890215.73,182.22
ML,3_DPpaulli_18_workers.fjs,6,4313,234575.33,181.19
ML,3_DPpaulli_18_workers.fjs,7,4371,1610680.4,181.85
ML,3_DPpaulli_18_workers.fjs,8,4281,1015022.93,180.31
ML,3_DPpaulli_18_workers.fjs,9,4201,1437306.93,182.92
ML,3_DPpaulli_18_workers.fjs,10,4298,950488.93,184.49
